N:J8432.AK85.42.K6 A96.T6.AQ8.QJT95 KQ75.742.JT75.72 T.QJ93.K963.A843,8,6,4,3,5,5,6,8,10,6,8,6,4,3,5,5,6,8,10,6
N:.762.J92.KQJT632 9842.K9.AQT6.A75 AT3.A8543.875.94 KQJ765.QJT.K43.8,2,6,2,8,3,11,6,9,5,10,2,6,2,8,3,11,7,10,5,10
N:KQT6.98654.KQ.Q6 743.3.JT76.K9732 .AKJT7.A9542.A84 AJ9852.Q2.83.JT5,7,13,11,8,11,6,0,2,5,2,7,13,10,7,10,6,0,2,5,2
N:AKJT.AJ92.QJ86.K 853.K.AK75.T7654 9762.8643.T932.2 Q4.QT75.4.AQJ983,7,7,8,2,5,5,5,5,10,8,7,7,8,2,5,5,5,5,10,8
N:QJ764.AQ.QT32.62 A2.JT7.KJ5.KQJT4 KT3.K842.A76.973 985.9653.984.A85,8,6,8,5,6,4,7,5,8,6,8,6,8,5,6,4,7,5,8,6
N:A42.T64.K863.J42 Q653.A73.J54.Q53 JT97.92.Q9.KT876 K8.KQJ85.AT72.A9,5,3,4,7,4,8,10,9,6,9,5,3,4,7,4,8,9,9,5,8
N:AJT86.A76.JT54.8 K.KJ43.AQ6.KQ953 Q542.QT852.72.J2 973.9.K983.AT764,9,7,4,1,4,4,5,9,11,7,8,7,4,1,4,4,5,9,11,7
N:AKQ3.85.98642.J3 82.AK2.JT5.KQ942 T764.QJ93.K3.T87 J95.T764.AQ7.A65,6,4,5,3,3,6,9,8,10,9,6,4,5,3,3,6,9,8,10,9
N:AQ86.953.QT8654. KJ93.AKQT8.3.Q53 T54.74.AJ72.AK64 72.J62.K9.JT9872,7,5,9,4,6,6,8,4,9,6,5,5,9,4,5,6,8,4,9,6
N:A2.93.73.AQJ8762 T43.T764.AQJT.T4 9765.Q852.K64.53 KQJ8.AKJ.9852.K9,4,4,4,9,6,8,8,9,4,4,4,4,4,9,6,9,8,9,4,4
N:72.QJ94.AJ93.965 QJT96.852.8.AJT2 K85.AT76.KT652.Q A43.K3.Q74.K8743,2,8,9,2,3,11,4,4,10,7,2,8,9,2,3,11,4,4,10,7
N:AJT8.QT74.975.Q2 KQ32.652.K8.KT64 97.AK983.J632.J8 654.J.AQT4.A9753,3,7,4,2,4,9,6,9,11,7,3,7,4,2,4,9,6,9,11,7
N:J954.T42.QJ.QJ54 KQ.KQJ.A9632.A96 AT8.97653.KT8.KT 7632.A8.754.8732,7,7,5,6,5,6,6,8,7,6,7,7,5,6,5,6,6,8,7,6
N:QJ83.KJT63.972.A 942.AQ.KQ6.JT954 KT7.8542.AJ4.K76 A65.97.T853.Q832,9,9,6,6,6,4,4,6,7,6,9,9,6,6,6,4,4,6,7,6
N:AT63.J4.J63.KT95 K.AKQ765.Q75.AJ4 Q9854.T2.842.832 J72.983.AKT9.Q76,5,0,1,4,0,8,12,12,8,11,5,0,1,4,0,8,12,12,9,11
N:A.AKT953.T92.J53 854.Q82.A64.AKT4 T962.J76.875.Q72 KQJ73.4.KQJ3.986,3,7,3,3,3,10,6,10,9,7,3,7,3,3,3,10,6,10,9,7
N:QT8.QT96..AKT632 AJ632.J8.K863.98 K74.54.AQJT9.754 95.AK732.7542.QJ,7,8,8,9,10,6,5,4,3,3,7,8,8,9,10,6,5,5,3,3
N:Q96.J52.K953.JT5 KJ75.97.62.KQ972 A84.AKT843.AT87. T32.Q6.QJ4.A8643,7,11,12,6,8,6,2,1,7,4,7,11,11,6,8,6,2,1,7,4
N:854.Q752.962.QT4 KT9.KT8.T87.K532 AQJ7632.J6.AQJ.6 .A943.K543.AJ987,8,4,4,3,6,5,9,9,10,6,8,4,4,3,6,5,9,8,10,6
N:QT643.972.A82.J6 872.AT3.QJ764.AK K5.54.T95.QT9542 AJ9.KQJ86.K3.873,4,1,1,6,1,9,11,10,7,11,4,1,1,6,1,9,11,10,7,11
N:AJ9.J62.KT.AK873 Q2.KQT9.4.QT9654 T8764.43.QJ86.J2 K53.A875.A97532.,5,3,5,5,6,6,9,8,8,7,5,3,5,5,6,6,9,8,8,7
N:A5.98.J8543.QT72 7.JT.AKQT962.J95 JT83.AKQ652..A86 KQ9642.743.7.K43,8,10,6,9,8,5,3,7,3,5,8,10,5,9,8,5,3,7,3,4
N:T9752.QT98.J3.85 Q3.643.A9876.AQ7 AKJ6.K2.Q5.KT932 84.AJ75.KT42.J64,9,6,5,8,6,4,7,8,5,7,9,6,5,8,6,4,7,8,5,7
N:2.JT865.Q9653.AQ 875.Q92.AKJ8.J72 KQT64.3.72.T9543 AJ93.AK74.T4.K86,4,4,4,5,3,8,8,9,8,10,4,4,4,5,3,8,9,9,8,10
N:J92.Q982.A2.KJ52 KQ53.K6543.K.T86 A876.AT.T763.A73 T4.J7.QJ9854.Q94,11,10,7,11,11,2,3,5,2,2,11,10,7,11,11,2,3,6,2,2
N:A43.97.Q9862.QT3 875.J52.AJ53.J72 K96.8643.74.AK85 QJT2.AKQT.KT.964,5,5,7,6,6,7,8,6,6,7,5,5,7,6,6,7,8,6,6,7
N:T.KQJ9.874.AQJT7 763.86542.T5.943 K85.A.J632.K8652 AQJ942.T73.AKQ9.,3,5,7,9,8,9,7,5,2,4,4,5,8,9,9,9,7,5,2,4
N:983.K9.AKQT3.KQJ K65.AQ62.J8642.9 QT72.8754.975.76 AJ4.JT3..AT85432,5,3,5,2,5,8,9,8,11,8,5,3,5,2,5,8,9,8,11,8
N:J96.K.AKT9865.95 KQT82.AQ5.Q.KT42 53.9876.J72.AJ73 A74.JT432.43.Q86,1,1,9,3,3,11,11,4,9,5,1,1,9,3,3,11,11,4,9,5
N:3.752.J962.QT876 K92.AKT8.A75.A32 QJ8764.963.Q.J94 AT5.QJ4.KT843.K5,3,1,1,3,1,10,12,12,10,12,3,1,1,3,1,10,12,12,10,12
N:5.JT9853.6.K9853 KJT7643.2.A52.T7 A.K764.QT743.QJ2 Q982.AQ.KJ98.A64,1,9,4,8,1,12,4,9,4,10,1,9,4,8,1,12,4,9,4,10
N:A2.J853.A954.AK6 KT8754.KQ7.K6.98 J.964.QT3.QT5432 Q963.AT2.J872.J7,4,8,8,9,8,9,4,4,4,4,4,8,8,9,8,9,4,4,4,4
N:9.76543.98754.Q9 AK4.AJT8.JT2.T87 T8632..3.AKJ6542 QJ75.KQ92.AKQ6.3,3,2,3,8,1,9,11,9,4,6,3,2,3,8,1,9,11,9,4,6
N:A9.AKQ4.Q932.AT8 T3.T9762.K.KJ743 654.J83.J754.Q95 KQJ872.5.AT86.62,5,7,7,7,7,8,6,5,6,6,4,7,7,7,7,8,6,5,6,6
N:AK74.Q8.T742.T98 Q3.AJT94.K953.64 J52.K653.A.AQJ52 T986.72.QJ86.K73,9,7,6,10,8,4,5,7,2,5,9,7,6,10,8,4,5,7,2,5
N:T97.KT4.QT54.T75 6.A753.AKJ972.K8 KQJ2.Q982.63.Q42 A8543.J6.8.AJ963,3,3,1,1,1,9,10,11,11,10,3,3,1,1,1,9,9,11,11,10
N:J73.92.A96.97432 AK85.Q875.QT2.T6 94.AT3.K743.AKJ8 QT62.KJ64.J85.Q5,5,5,9,9,8,8,8,4,3,5,5,5,9,9,8,8,8,4,3,5
N:AJT542.J732.A.32 KQ.K96.J7532.K97 983.AT4.K98.JT85 76.Q85.QT64.AQ64,9,7,4,6,8,4,5,9,7,5,9,7,4,6,8,4,5,8,7,5
N:Q63.652.54.KQJ85 K97.QJ.AT87.9742 AJT.K983.KQJ962. 8542.AT74.3.AT63,6,7,7,5,7,7,6,6,8,6,6,7,8,5,7,7,6,5,8,6
N:KQ632.A743.A9.65 J.J86.K65.QJT843 AT95.K9.QT8742.7 874.QT52.J3.AK92,11,7,10,4,7,2,5,2,8,5,11,7,10,4,7,2,5,2,8,5
N:AJ754.KT4.KQJ.94 3.AQJ6.864.AKJ72 T8.8753.A9.QT863 KQ962.92.T7532.5,7,6,5,7,7,6,6,8,6,6,6,6,5,7,7,6,6,8,6,6
N:K863.T64.AT4.J82 T5.Q3.J9873.AQ53 4.KJ875.KQ652.96 AQJ972.A92..KT74,2,7,7,2,4,10,6,6,11,6,2,7,7,2,4,10,6,6,11,6
N:AKQ82.KQ7.T.KQ95 J975.862.K963.42 643.J953.AQJ5.76 T.AT4.8742.AJT83,10,11,8,9,10,3,2,4,4,3,10,11,8,9,10,3,2,4,4,3
N:6.AKT62.AT8.AQ42 QT975.94.KJ53.K9 KJ.QJ853.72.T653 A8432.7.Q964.J87,4,10,4,9,8,9,3,9,3,4,4,10,4,9,8,9,3,9,3,4
N:42.97654.KJT62.9 J9765.83.A53.732 A83.KT2.84.AJ865 KQT.AQJ.Q97.KQT4,3,8,6,4,3,8,5,5,9,8,3,8,7,4,4,8,5,6,8,9
N:KQ62.QJ984.A93.K 84.AT532.K62.J63 T753.K6.QJ4.T982 AJ9.7.T875.AQ754,7,7,5,4,6,5,6,8,9,6,7,7,5,4,6,6,6,8,9,7
N:K93.KQ9.J7.JT843 A8542.AJ3.Q653.Q T6.T842.K2.K9652 QJ7.765.AT984.A7,3,6,2,7,5,10,7,11,6,8,3,6,2,7,5,10,7,11,6,8
N:7653.T8.AJ76.KQ5 J.A73.KT98.JT943 QT9842.J94.43.86 AK.KQ652.Q52.A72,7,2,2,3,2,6,11,10,10,11,7,2,2,3,2,6,11,10,10,11
N:Q75.Q94.Q85.AQ62 T4.AJ63.A63.8543 AJ32.T8752.JT42. K986.K.K97.KJT97,6,6,6,3,6,7,7,7,10,7,6,6,6,3,6,7,7,7,10,7
N:A7654.KT6543.74. T932.A982.T.Q764 8.QJ7.Q93.AKT853 KQJ..AKJ8652.J92,5,8,3,6,3,6,3,7,6,8,5,9,4,6,4,7,3,7,7,8
N:KJ976.854.T3.A75 A43.AQ72.754.932 QT8.93.AK96.T864 52.KJT6.QJ82.KQJ,7,4,5,6,6,5,8,7,6,6,7,4,5,6,6,5,8,7,6,6
N:AQ5.8743.KJ42.Q8 K984.Q52.Q.J9742 J7.KJT96.98653.6 T632.A.AT7.AKT53,2,7,8,2,5,10,6,4,11,8,2,7,8,2,5,10,6,4,11,8
N:AT9642.J73.4.AQ5 J.T.AT876.JT8632 Q3.AK965.Q53.974 K875.Q842.KJ92.K,10,10,4,5,7,3,2,9,7,6,10,10,4,5,7,3,2,9,7,6
N:J8632.AJ9.AKT2.Q AQ.Q.J973.T76543 KT54.KT8432.Q5.A 97.765.864.KJ982,12,12,11,6,10,1,1,2,7,1,12,12,11,6,10,1,1,2,7,1
N:KQ.T9.J9873.9765 985.J32.A54.QJT3 AJ76.AK764.K2.82 T432.Q85.QT6.AK4,8,9,8,7,7,4,4,5,6,6,8,9,8,7,7,4,4,5,6,6
N:K96.Q642.K65.AK9 A873.97.J9432.QJ J52.T853.QT7.T86 QT4.AKJ.A8.75432,5,7,5,5,6,8,6,8,7,6,5,7,5,5,6,8,6,8,7,7
N:9764.97.J752.J87 853.J3.T983.T963 AJT2.AKQ.K6.KQ52 KQ.T86542.AQ4.A4,9,6,7,9,9,4,7,6,4,4,9,6,7,9,9,4,7,6,4,4
N:KJT6.Q3.AJ84.Q87 Q873.975.K93.KT5 9542.JT862.7.943 A.AK4.QT652.AJ62,5,5,2,2,2,7,8,11,10,11,5,5,2,2,2,7,8,11,10,11
N:KQJT.Q3.K763.A43 832.K8654.AQT.J2 A764.A7.J92.K975 95.JT92.854.QT86,10,6,8,9,8,3,7,4,4,4,9,6,8,8,7,3,7,4,4,4
N:KJ2.AKJ654.AJ.84 AQ83.T32.T4.JT72 94.98.Q8763.AK65 T765.Q7.K952.Q93,7,11,9,9,10,6,2,4,4,3,7,11,9,9,10,6,2,4,4,3
N:Q86.A732.AQ63.A4 A32.QJT.J542.K87 J97.954.T98.9653 KT54.K86.K7.QJT2,5,6,6,5,5,8,7,7,8,8,5,6,6,5,5,8,7,7,8,8
N:4.K.Q98752.AJT43 K63.9765.A.K9865 8752.AJT832.K4.Q AQJT9.Q4.JT63.72,4,7,8,7,6,8,5,3,6,6,4,7,8,7,6,8,5,3,6,6
N:QT.A754.AT94.J83 A5.J962.KJ7.AQT6 KJ873.T3.65.9752 9642.KQ8.Q832.K4,6,3,3,3,3,7,9,9,10,10,6,3,3,3,3,7,9,9,10,10
N:K642.A82.T9.T543 73.QJ954.A543.J7 QJT985.K.KQ7.Q92 A.T763.J862.AK86,8,4,4,7,7,5,9,9,6,5,8,4,4,7,7,5,9,9,5,4
N:AK6.T843.96532.7 .K652.KT8.QT9842 T.AJ9.AQ4.AKJ653 QJ9875432.Q7.J7.,5,9,9,8,9,8,4,3,5,4,5,9,9,8,9,8,3,2,5,2
N:KQJT5.Q985..A862 A987632.J4.63.74 4.K7632.AK952.95 .AT.QJT874.KQJT3,5,10,5,6,7,6,3,7,6,3,7,10,5,7,7,6,3,7,6,3
N:AKJ653.T763.4.J2 94.QJ85.AJT95.53 QT.AK92.2.KT9764 872.4.KQ8763.AQ8,10,9,3,9,5,3,4,10,4,4,10,9,3,9,5,3,3,10,4,4
N:AQ76.9.Q532.T875 J94.762.A976.Q42 K53.AQJ43.J8.AJ9 T82.KT85.KT4.K63,9,8,9,9,8,4,5,4,4,5,9,8,9,9,8,4,5,4,4,4
N:Q876.A53.QJ842.5 T.KQ8742.A5.AJ43 KJ42.J96.T9.T976 A953.T.K763.KQ82,6,2,5,1,4,7,11,7,12,9,6,2,5,1,4,7,11,7,12,9
N:QJ54.A95.86.KJ83 AT873.74.A95.976 K9.KQ82.KQJ4.542 62.JT63.T732.AQT,9,9,9,8,10,4,4,4,3,3,9,9,9,8,10,4,4,3,4,3
N:974.J87.T87642.7 KQJ863.T42.K.AJ2 T2.A.AJ9.KQ98543 A5.KQ9653.Q53.T6,2,2,9,7,2,10,10,4,6,9,2,2,9,7,2,10,10,4,5,9
N:K853..K875.AJ964 T2.Q84.642.KQT32 AQ97.AKJ53.JT9.8 J64.T9762.AQ3.75,12,10,12,9,10,1,3,1,4,3,12,10,12,9,10,1,3,1,4,3
N:AKT62.92.T86.Q65 J4.AK654.AQJ73.2 873.QT3.K9.KJT43 Q95.J87.542.A987,8,4,4,8,6,5,9,9,5,6,8,4,4,8,6,5,9,9,5,6
N:T87532.A87.K984. AJ.T965.AQT632.8 94.QJ3.J.QJT7432 KQ6.K42.75.AK965,6,4,3,6,4,7,9,9,7,9,6,4,3,6,3,7,9,10,7,9
N:A9.KQJT7.964.954 J83.952.AT8.AKQ8 Q72.A63.KJ75.J32 KT654.84.Q32.T76,4,7,6,5,6,9,6,7,8,6,4,7,6,5,6,9,6,6,8,6
N:75.QJT87.J6.8653 QJ86.432.T3.KT72 KT42.K.AK742.AQ9 A93.A965.Q985.J4,6,8,7,8,7,6,4,5,5,5,7,8,7,8,7,6,4,5,5,5
N:9862.QT742.A9.A8 KQT7.83.K2.KT964 5.J965.QJT763.QJ AJ43.AK.854.7532,2,8,8,2,2,11,5,5,10,10,2,8,8,2,2,11,5,5,10,10
N:AT32.AKQ54.Q6.76 95.T6.JT984.QJT4 QJ87.9832.3.AK53 K64.J7.AK752.982,12,12,6,8,8,1,1,6,5,2,12,12,6,8,8,1,1,6,5,2
N:A32.7632.AK4.J65 KQ85.J4.JT72.AT9 J9.AQ98.653.Q732 T764.KT5.Q98.K84,4,6,5,6,5,9,7,8,7,8,4,6,5,6,5,9,7,8,7,8
N:AQJ9.QJ64.82.Q73 875.KT875.T53.T4 63.A93.KJ764.AJ9 KT42.2.AQ9.K8652,8,8,8,8,9,4,5,4,5,4,8,8,9,8,9,4,5,4,5,4
N:AQ.A64.AKQ9643.6 73.K852.72.KQ543 KJ94.QJT3.JT8.J2 T8652.97.5.AT987,7,10,12,4,8,5,3,1,9,1,7,10,12,4,8,5,3,1,9,1
N:AKJ83..K872.JT84 Q4.AK987543.J.72 T952..963.AQ9653 76.QJT62.AQT54.K,11,1,5,11,4,1,10,4,1,2,11,1,5,11,4,1,10,4,1,2
N:J53.97.KT986.KT9 A862.Q82.AQ74.72 974.KJT43.J.AJ86 KQT.A65.532.Q543,6,7,6,7,6,7,6,6,6,7,6,7,6,7,6,7,6,6,6,7
N:98532..T975.QJ52 KJ.32.K86432.A93 QT64.AK985.AQ.84 A7.QJT764.J.KT76,8,5,5,5,7,4,8,7,7,6,8,5,5,5,7,4,8,8,8,6
N:AJ.KT.JT4.AKJ862 9762.AQJ82.732.5 853.9763.Q65.Q94 KQT4.54.AK98.T73,3,4,4,8,7,10,9,9,5,6,3,4,4,8,7,10,9,9,5,6
N:JT6.K4.Q53.AKQT4 983.AJ93.AKJ94.5 AK2.T765.862.J63 Q754.Q82.T7.9872,5,4,4,7,7,8,9,9,6,6,5,4,3,7,5,8,9,9,6,6
N:9.K984.A32.AQ754 AQ83.62.Q965.J82 KJ.AQT53.K74.T63 T76542.J7.JT8.K9,7,11,8,11,10,6,2,5,2,2,7,11,8,11,10,6,2,5,2,2
N:87653.A.J9873.42 K94.KJ.KQT65.J63 JT.QT86.42.QT975 AQ2.975432.A.AK8,3,3,3,4,3,9,10,10,9,10,3,3,3,4,3,9,10,10,9,10
N:Q.AQT964.A9763.T AK7.KJ87.K8.A854 JT54.52.52.KJ976 98632.3.QJT4.Q32,5,7,6,6,5,8,6,7,7,8,5,6,6,6,5,8,6,7,7,8
